name:,price:,discounted_price:,psn_price:,psn_old_price:,rating:,rating_count:,situation:,Collection Date:,Platform:,Release:,Genres:,Publisher:,Voice:,Screen Languages:,PS5 Voice:,PS5 Screen Languages:,PS4 Voice:,PS4 Screen Languages:,Link:
Dragon Age™: The Veilguard,"2.900,00 TL",,"2.610,00 TL","2.900,00 TL",4.29,222 ratings,Add to Cart,31/10/2024,PS5,31/10/2024,Role Playing Games,EA Swiss Sarl,"English, French (France), German","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10000586
UFC® 5,"2.900,00 TL",,Game Trial,,3.08,12k ratings,Add to Cart,31/10/2024,PS5,26/10/2023,Fighting,EA Swiss Sarl,"English, French (France), German","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10002788
Phasmophobia,"665,00 TL",,,,4.88,3.8k ratings,Add to Cart,31/10/2024,PS5,29/10/2024,"Horror, Puzzle",Kinetic Games Limited,English,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish",,,,,https://store.playstation.com/en-tr/concept/10005673
The Last of Us™ Part II Remastered,"1.249,00 TL",,Game Trial,,4.47,197k ratings,Add to Cart,31/10/2024,PS5,18/1/2024,"Adventure, Action",Sony Interactive Entertainment Europe,"English, French (France), German, Greek, Italian, Polish, Portuguese (Portugal), Russian, Spanish, Turkish","Croatian, Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish, Turkish",,,,,https://store.playstation.com/en-tr/concept/230079
Resident Evil 4,"699,50 TL","1.399,00 TL",,,4.77,76k ratings,Add to Cart,31/10/2024,"PS4, PS5",23/3/2023,"Horror, Adventure, Action",CE EUROPE LIMITED,"Chinese, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish","Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10004473
Hogwarts Legacy PS5 Version,"3.149,00 TL",,Game Trial,,4.5,52k ratings,Add to Cart,31/10/2024,PS5,9/2/2023,Unique,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian, Spanish","Arabic, English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/232447
VALORANT,Free,,,,3.7,43k ratings,Add to Library,31/10/2024,PS5,2/8/2024,"Shooter, Action",RIOT GAMES,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10010048
Marvel’s Spider-Man 2,"2.799,00 TL",,Game Trial,,4.82,154k ratings,Add to Cart,31/10/2024,PS5,19/10/2023,Action,Sony Interactive Entertainment Europe,"Arabic, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","Arabic, Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish",,,,,https://store.playstation.com/en-tr/concept/10002456
SILENT HILL 2,"2.499,00 TL",,,,4.88,15k ratings,Add to Cart,31/10/2024,PS5,7/10/2024,Horror,Konami,"English, Japanese","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10005529
Black Myth: Wukong,"2.499,00 TL",,,,4.46,138k ratings,Add to Cart,31/10/2024,PS5,20/8/2024,"Role Playing Games, Adventure, Action","Game Science Interactive Technology Co., Ltd.","Chinese, English","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10007144
Gran Turismo™ 7,"1.999,00 TL",,,,4.37,27k ratings,Add to Cart,31/10/2024,"PS4, PS5",3/3/2022,Driving/Racing,Polyphony Digital Inc,,"Arabic, Czech, Dutch, English, French (France), German, Greek, Italian, Japanese, Polish, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10000956
SONIC X SHADOW GENERATIONS PS4 & PS5,"1.599,00 TL",,,,4.85,2.2k ratings,Add to Cart,31/10/2024,"PS4, PS5",25/10/2024,Action,"SEGA of America, Inc.","English, French (France), German, Italian, Japanese, Spanish","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Thai",,,,,https://store.playstation.com/en-tr/concept/10008755
Mortal Kombat™ 1,"1.749,00 TL",,Game Trial,,4.33,29k ratings,Add to Cart,31/10/2024,PS5,18/9/2023,Fighting,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian, Portuguese (Brazil), Spanish, Spanish (Mexico)","English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10004911
Mortal Kombat 11,"349,00 TL",,Included,"349,00 TL",4.49,80k ratings,Add to Cart,31/10/2024,"PS4, PS5",17/11/2020,Fighting,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/231756
EA SPORTS FC™ 24 Standard Edition PS4 & PS5,"2.900,00 TL",,Included,"2.900,00 TL",3.26,143k ratings,Add to Cart,31/10/2024,"PS4, PS5",28/9/2023,Sport,EA Swiss Sarl,,,"English, Polish, Russian","Czech, English, Polish, Russian, Turkish","English, Polish, Russian, Spanish","Czech, English, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Turkish",https://store.playstation.com/en-tr/concept/10007176
Genshin Impact,Free,,,,4.39,366k ratings,Add to Library,31/10/2024,"PS4, PS5",27/4/2021,"Action, Role Playing Games, Adventure",COGNOSPHERE PTE. LTD.,"Chinese, English, Japanese, Korean","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10000896
War Thunder,Free,,,,4.15,356k ratings,Add to Library,31/10/2024,PS5,16/11/2020,"Simulation, Action, Unique",Gaijin Distribution KFT,"English, French (France), German, Italian, Spanish","Czech, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/205366
God of War Ragnarök,"2.799,00 TL",,Game Trial,,4.83,98k ratings,Add to Cart,31/10/2024,"PS4, PS5",8/11/2022,Action,Sony Interactive Entertainment Europe,,,"English, French (France), German, Italian","Arabic, Chinese (Simplified), Chinese (Traditional), Croatian, Czech, Dutch, English, French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish (Mexico), Thai, Turkish","English, French (France), German, Italian","Arabic, Chinese (Simplified), Chinese (Traditional), Croatian, Czech, Dutch, English, French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Thai, Turkish",https://store.playstation.com/en-tr/concept/10001850
A Way Out,Free,,"209,80 TL","1.049,00 TL",4.18,69k ratings,Add to Library,31/10/2024,PS4,22/3/2018,"Adventure, Action",EA Swiss Sarl,English,"English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/227061
The Sims™ 4,Free,,,,3.93,101k ratings,Add to Library,31/10/2024,PS4,16/11/2017,"Simulation, Action",EA Swiss Sarl,English,"Danish, Dutch, English, Finnish, French (France), German, Italian, Norwegian, Polish, Russian, Spanish, Swedish",,,,,https://store.playstation.com/en-tr/concept/228857
ELDEN RING PS4 & PS5,"1.499,00 TL",,,,4.71,121k ratings,Add to Cart,31/10/2024,"PS4, PS5",24/2/2022,Role Playing Games,BANDAI NAMCO ENTERTAINMENT EUROPE,,,English,"English, French (France), German, Italian, Polish, Russian, Spanish",English,"Arabic, English, French (France), German, Italian, Polish, Russian, Spanish",https://store.playstation.com/en-tr/concept/10000333
THRONE AND LIBERTY,Free,,,,3.58,10k ratings,Add to Library,31/10/2024,PS5,1/10/2024,Role Playing Games,Amazon Games,"English, Japanese, Korean","English, French (France), German, Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10008034
It Takes Two PS4™ & PS5™,"1.499,99 TL",,Included,"1.499,99 TL",4.45,80k ratings,Add to Cart,31/10/2024,"PS4, PS5",25/3/2021,Unique,EA Swiss Sarl,,,English,"English, French (France), German, Italian, Spanish",English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",https://store.playstation.com/en-tr/concept/234689
NHL® 25 Standard Edition,"2.900,00 TL",,Game Trial,,2.97,649 ratings,Add to Cart,31/10/2024,PS5,27/9/2024,Sport,EA Swiss Sarl,English,"Czech, English, Finnish, French (France), German, Swedish",,,,,https://store.playstation.com/en-tr/concept/10009268
"Warhammer 40,000: Space Marine 2 - Ultra Edition","3.899,00 TL",,,,4.41,14k ratings,Add to Cart,31/10/2024,PS5,9/9/2024,"Action, Action",Focus Entertainment,"Chinese, English, French (France), German, Japanese, Russian, Spanish","Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10003330
SnowRunner,"1.399,00 TL",,,,4.26,23k ratings,Add to Cart,31/10/2024,"PS4, PS5",31/5/2022,"Arcade, Driving/Racing, Simulation",Focus Entertainment,,,English,"Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish",,"Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish",https://store.playstation.com/en-tr/concept/234959
Marvel's Spider-Man Remastered,"466,78 TL",,,,4.7,220k ratings,Add to Cart,31/10/2024,PS5,3/5/2023,Action,Sony Interactive Entertainment Europe,"English, French (France), German, Italian","Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Swedish",,,,,https://store.playstation.com/en-tr/concept/10000762
Assassin's Creed Valhalla PS4 & PS5,"470,00 TL",,Included,"470,00 TL",4.12,61k ratings,Add to Cart,31/10/2024,"PS4, PS5",11/11/2020,Role Playing Games,UBISOFT ENTERTAINMENT SA,"English, Russian","English, Russian",,,,,https://store.playstation.com/en-tr/concept/10000237
Cyberpunk 2077,"2.799,00 TL",,Game Trial,,4.41,121k ratings,Add to Cart,31/10/2024,"PS4, PS5",15/2/2022,Role Playing Games,CD PROJEKT SA,,,"English, Polish, Portuguese (Brazil), Russian","Arabic, Czech, English, Hungarian, Polish, Portuguese (Brazil), Russian, Turkish, Ukrainian","English, Polish, Portuguese (Brazil), Russian","Arabic, Czech, English, Hungarian, Polish, Portuguese (Brazil), Russian, Turkish",https://store.playstation.com/en-tr/concept/234567
Street Fighter™ 6,"2.999,00 TL",,,,4.35,16k ratings,Add to Cart,31/10/2024,"PS4, PS5",1/6/2023,Fighting,CE EUROPE LIMITED,"English, Japanese","Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10001615
World of Tanks Modern Armor,Free,,,,4.09,284k ratings,Add to Library,31/10/2024,PS5,26/10/2021,"Action, Action, Shooter",Wargaming Group Ltd,English,"English, French (France), German, Japanese, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/212581
HITMAN World of Assassination,"2.499,00 TL",,,,4.37,34k ratings,Add to Cart,31/10/2024,"PS4, PS5",26/1/2023,Action,IO Interactive A/S,,,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Russian, Spanish",English,"Chinese (Traditional), English, French (France), German, Italian, Russian, Spanish",https://store.playstation.com/en-tr/concept/10000248
The Quarry for PS5™,"363,87 TL","2.799,00 TL",,,4.24,11k ratings,Add to Cart,31/10/2024,PS5,9/6/2022,Horror,2K,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish","Chinese (Simplified), Chinese (Traditional), Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/10004123
Life is Strange: Double Exposure Ultimate Edition,"3.149,00 TL",,,,4.44,943 ratings,Add to Cart,31/10/2024,PS5,29/10/2024,Adventure,Square Enix LTD,"English, French (France), German, Japanese","Chinese (Simplified), English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10008183
DRAGON BALL: Sparking! ZERO,"2.799,00 TL",,,,4.74,32k ratings,Add to Cart,31/10/2024,PS5,10/10/2024,Action,BANDAI NAMCO ENTERTAINMENT EUROPE,"English, Japanese","Arabic, English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10007902
Dying Light 2 Stay Human PS4&PS5,"839,60 TL","2.099,00 TL",Game Trial,,4.17,19k ratings,Add to Cart,31/10/2024,"PS4, PS5",3/2/2022,Unique,TECHLAND SP. Z O.O.,English,"Arabic, Czech, English, French (France), German, Italian, Korean, Polish, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/232374
Baldur's Gate 3,"2.499,00 TL",,Game Trial,,4.81,64k ratings,Add to Cart,31/10/2024,PS5,6/9/2023,Role Playing Games,Larian Studios Games Ltd,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10007460
TEKKEN 8,"1.999,00 TL",,,,4.53,13k ratings,Add to Cart,31/10/2024,PS5,25/1/2024,"Action, Fighting",BANDAI NAMCO ENTERTAINMENT EUROPE,English,"Arabic, English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10006270
Overwatch® 2 - Season 13: Spellbinder,Free,,,,4.21,212k ratings,Add to Library,31/10/2024,PS5,4/10/2022,"Shooter, Action, Shooter","Blizzard Entertainment, Inc.","Chinese, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Spanish","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/216627
Alan Wake 2,"1.099,00 TL",,Game Trial,,4.76,30k ratings,Add to Cart,31/10/2024,PS5,27/10/2023,Horror,Epic Games Inc.,"English, French (France), German, Japanese, Spanish","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10002065
Tom Clancy's The Division 2,Free,,,,4.3,65k ratings,Add to Library,31/10/2024,PS4,14/3/2019,Shooter,UBISOFT ENTERTAINMENT SA,"English, Russian","English, Russian",,,,,https://store.playstation.com/en-tr/concept/232391
The Crew™ Motorfest Standard Edition - Cross-Gen Bundle,Free,,"1.879,00 TL",,4.21,42k ratings,Add to Library,31/10/2024,"PS4, PS5",14/9/2023,Driving/Racing,UBISOFT ENTERTAINMENT SA,English,"Arabic, English, Russian",,,,,https://store.playstation.com/en-tr/concept/10002313
Tom Clancy's Rainbow Six® Siege Deluxe Edition,"247,17 TL","749,00 TL",,,4.31,271k ratings,Add to Cart,31/10/2024,"PS4, PS5",12/3/2024,"Shooter, Action",UBISOFT ENTERTAINMENT SA,,,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","English, Russian","Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Thai, Turkish",https://store.playstation.com/en-tr/concept/203897
WWE 2K24 Cross-Gen Digital Edition,"2.619,00 TL",,Included,"2.619,00 TL",4,17k ratings,Add to Cart,31/10/2024,"PS4, PS5",7/3/2024,Sport,2K,English,"Arabic, English, French (France), German, Italian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10007978
Rocket League®,Free,,,,4.35,1m ratings,Add to Library,31/10/2024,PS4,6/7/2015,"Sport, Action, Driving/Racing",Psyonix,,"Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/203715
Horizon Zero Dawn™ Remastered,"1.749,00 TL",,,,4.76,184k ratings,Add to Cart,31/10/2024,PS5,30/10/2024,"Role Playing Games, Action",Sony Interactive Entertainment Europe,"Arabic, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","Arabic, Chinese (Simplified), Chinese (Traditional), Danish, Dutch, English, Finnish, French (France), German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Spanish (Mexico), Swedish",,,,,https://store.playstation.com/en-tr/concept/221727
NBA 2K24 Kobe Bryant Edition for PS5™,"1.500,00 TL",,,,3.01,48k ratings,Add to Cart,31/10/2024,PS5,7/9/2023,Sport,2K,"English, Spanish","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",,,,,https://store.playstation.com/en-tr/concept/10007788
No Man's Sky PS4 & PS5,"499,60 TL","1.249,00 TL",,,3.89,93k ratings,Add to Cart,31/10/2024,"PS4, PS5",11/11/2020,"Unique, Adventure, Action",Hello Games LTD,,,,"Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","English, French (France), German, Italian, Spanish","Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish",https://store.playstation.com/en-tr/concept/216600
Test Drive Unlimited Solar Crown,"2.099,00 TL",,,,2.07,9.1k ratings,Add to Cart,31/10/2024,PS5,12/9/2024,Driving/Racing,NACON SA,"English, French (France), German, Italian, Spanish","Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Spanish, Turkish, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10003910
NEW WORLD: AETERNUM,"2.099,00 TL",,,,4.21,2.2k ratings,Add to Cart,31/10/2024,PS5,15/10/2024,Role Playing Games,Amazon Games,"English, French (France), German, Polish, Spanish, Spanish (Mexico)","English, French (France), German, Italian, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10004947
Red Dead Redemption,"1.749,00 TL",,Included,"1.749,00 TL",4.77,10k ratings,Add to Cart,31/10/2024,PS4,17/8/2023,Action,Rockstar Games,,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10006164
Resident Evil Village PS4 & PS5,"479,60 TL","1.199,00 TL",,,4.69,30k ratings,Add to Cart,31/10/2024,"PS4, PS5",6/5/2021,"Horror, Action",CE EUROPE LIMITED,"English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish","Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/235235
Undisputed WBC Edition,"2.799,00 TL",,,,3.12,4.2k ratings,Add to Cart,31/10/2024,PS5,8/10/2024,Fighting,Deep Silver,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Polish, Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10009297
Dead by Daylight PS4® & PS5®,"419,60 TL","1.049,00 TL",Included,"1.049,00 TL",4.18,113k ratings,Add to Cart,31/10/2024,"PS4, PS5",11/11/2020,"Horror, Horror, Action",Starbreeze Publishing AB,,,"English, French (France), Japanese","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",,"English, French (France), German, Italian, Japanese, Spanish",https://store.playstation.com/en-tr/concept/227319
Mortal Kombat X,"146,44 TL",,,,4.55,115k ratings,Add to Cart,31/10/2024,PS4,13/4/2015,"Fighting, Fighting",WARNER BROS. INTERACTIVE,"English, French (France), German, Italian, Portuguese (Brazil), Spanish","English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/202943
Sea of Thieves,"909,35 TL","1.399,00 TL",,,4.33,12k ratings,Add to Cart,31/10/2024,PS5,30/4/2024,Adventure,Microsoft Corporation,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish",,,,,https://store.playstation.com/en-tr/concept/10008884
Beat Saber,"1.049,00 TL",,,,4.7,25k ratings,Add to Cart,31/10/2024,"PS4, PS5",24/5/2023,"Party, Music/Rhythm, Family",Beat Games s.r.o.,,,"English, French (France), German, Japanese, Korean, Spanish","English, French (France), German, Japanese, Korean, Spanish",English,English,https://store.playstation.com/en-tr/concept/232492
God of War® III Remastered,"349,50 TL","699,00 TL",Included,"699,00 TL",4.7,82k ratings,Add to Cart,31/10/2024,PS4,14/7/2015,"Action, Adventure",Sony Interactive Entertainment Europe,"Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/228618
Assassin's Creed® Mirage,"1.749,00 TL",,,,3.94,23k ratings,Add to Cart,31/10/2024,"PS4, PS5",4/10/2023,"Adventure, Action",UBISOFT ENTERTAINMENT SA,"Arabic, English","Arabic, English, Russian",,,,,https://store.playstation.com/en-tr/concept/10004865
